RTS,TK,rep,age,ageCat,moss,legume
NE14,TK1,R2,5,Arecent,0,0.002564103
NE14,TK1,R3,5,Arecent,0.5,0.136651306
NE14,TK1,R4,5,Arecent,0.5,0
NE14,TK1,R5,5,Arecent,0.1,0.18430455
NE14,TK1,R6,5,Arecent,0,0
Itkillik,TK2,R2,8,Arecent,12.9,2.812326248
Itkillik,TK2,R3,8,Arecent,2.8,0.96488877
Itkillik,TK2,R4,8,Arecent,6.8,6.196969132
Itkillik,TK2,R5,8,Arecent,24.3,6.385980195
Itkillik,TK2,R6,8,Arecent,18.7,0.661523481
Iminus,TK1,R1,8,Arecent,29.4,0
Iminus,TK1,R2,8,Arecent,8.8,0
Iminus,TK1,R3,8,Arecent,11.4,0
Iminus,TK1,R4,8,Arecent,7.9,0
Iminus,TK1,R6,8,Arecent,20.2,0
Iminus,TK2,R2,16,Bshrub,3.3,0
Iminus,TK2,R3,16,Bshrub,5.9,0
Iminus,TK2,R4,16,Bshrub,2.5,0
Iminus,TK2,R5,16,Bshrub,1.2,0
Iminus,TK2,R6,16,Bshrub,10.2,0
Iminus,TK3,R2,25,Bshrub,1.4,0
Iminus,TK3,R3,25,Bshrub,1.4,0
Iminus,TK3,R4,25,Bshrub,5.5,0
Iminus,TK3,R5,25,Bshrub,5.1,0
Iminus,TK3,R6,25,Bshrub,8.8,0
NE14,TK2,R2,44,Bshrub,29.5,13.20168549
NE14,TK2,R3,44,Bshrub,46,39.20888145
NE14,TK2,R4,44,Bshrub,70.75,0.197727022
NE14,TK2,R5,44,Bshrub,25.5,17.79886294
NE14,TK2,R6,44,Bshrub,51.75,0.762359737
NE14,TK3,R1,50,Bshrub,13.8,0
NE14,TK3,R2,50,Bshrub,78,0
NE14,TK3,R3,50,Bshrub,10.2,0
NE14,TK3,R4,50,Bshrub,38.25,0
NE14,TK3,R5,50,Bshrub,19.75,0
Itkillik,TK3,R2,54,Bshrub,93.5,1.264391945
Itkillik,TK3,R3,54,Bshrub,94.5,0.663525306
Itkillik,TK3,R4,54,Bshrub,84,1.335649797
Itkillik,TK3,R5,54,Bshrub,87.5,0.39860292
Itkillik,TK3,R6,54,Bshrub,88.6,0.207603088
NE14,TK4,R1,150,Cold,39.7,10.50606318
NE14,TK4,R2,150,Cold,34.25,10.60060914
NE14,TK4,R3,150,Cold,36,3.587470979
NE14,TK4,R4,150,Cold,38.25,14.27605038
NE14,TK4,R5,150,Cold,35.3,4.854632205
Iminus,TK4,R1,150,Cold,49,0
Iminus,TK4,R2,150,Cold,33.8,0
Iminus,TK4,R3,150,Cold,21.3,0
Iminus,TK4,R4,150,Cold,48.2,0
Iminus,TK4,R5,150,Cold,91.5,0
NE14,TK0,R2,,Dundisturbed,25.8,0
NE14,TK0,R3,,Dundisturbed,44.3,0
NE14,TK0,R4,,Dundisturbed,89.5,0
NE14,TK0,R5,,Dundisturbed,15.1,0
NE14,TK0,R6,,Dundisturbed,4,0
Itkillik,TK0.2,R1,,Dundisturbed,49.3,4.145239208
Itkillik,TK0.2,R2,,Dundisturbed,61.6,11.14637653
Itkillik,TK0.2,R3,,Dundisturbed,59.4,34.54921361
Itkillik,TK0.2,R4,,Dundisturbed,53.4,28.67274487
Itkillik,TK0.2,R5,,Dundisturbed,36.8,14.26071429
Itkillik,TK0.3,R2,,Dundisturbed,28.3,301.9257931
Itkillik,TK0.3,R3,,Dundisturbed,50.5,93.02537482
Itkillik,TK0.3,R4,,Dundisturbed,33.9,115.0893059
Itkillik,TK0.3,R5,,Dundisturbed,28.2,115.9462019
Itkillik,TK0.3,R6,,Dundisturbed,24.9,42.22378065
Iminus,TK0,R1,,Dundisturbed,43.5,0
Iminus,TK0,R2,,Dundisturbed,30.5,0
Iminus,TK0,R4,,Dundisturbed,18.2,0
Iminus,TK0,R5,,Dundisturbed,24.3,0
Iminus,TK0,R6,,Dundisturbed,49.5,0
